Frequency	Gain
2455.00000	-26.32276
2460.00000	-25.25638
2465.00000	-23.95895
2470.00000	-22.36201
2475.00000	-20.33309
2480.00000	-17.66980
2485.00000	-14.04243
2490.00000	-9.89139
2495.00000	-10.79373
2500.00000	-15.03515
2505.00000	-18.35475
2510.00000	-20.80106
2515.00000	-22.67768
2520.00000	-24.16183
2525.00000	-25.37770
2530.00000	-26.37346
2535.00000	-27.19321
2540.00000	-27.88447
2545.00000	-28.44317
2550.00000	-28.90979
2555.00000	-29.28332
2560.00000	-29.54621
2565.00000	-29.30545
2570.00000	-29.88411
2575.00000	-29.93497
2580.00000	-29.87013
2585.00000	-29.72439
2590.00000	-29.62892
2595.00000	-29.37012
2600.00000	-29.01967
2605.00000	-28.58152
2610.00000	-28.02666
2615.00000	-27.36167
2620.00000	-26.53614
2625.00000	-25.57304
2630.00000	-24.37488
2635.00000	-22.89230
2640.00000	-21.01651
2645.00000	-18.57064
2650.00000	-15.26676
2655.00000	-11.18039
2660.00000	-10.64357
2665.00000	-14.67796
2670.00000	-18.19552
2675.00000	-20.79972
2680.00000	-22.79295
2685.00000	-24.37247
2690.00000	-25.65035
2695.00000	-26.70086
2700.00000	-27.57398
2705.00000	-28.29774
2710.00000	-28.87995
2715.00000	-29.13333
2720.00000	-29.67007
2725.00000	-30.08193
2730.00000	-30.30537
2735.00000	-30.44865
2740.00000	-30.51951
2745.00000	-30.51395
2750.00000	-30.41769
2755.00000	-30.25527
2760.00000	-30.03101
2765.00000	-29.69882
2770.00000	-29.28352
2775.00000	-28.75787
2780.00000	-28.11166
2785.00000	-27.33562
2790.00000	-26.36348
2795.00000	-25.23888
2800.00000	-23.83737
2805.00000	-22.07379
2810.00000	-19.79672
2815.00000	-16.76217
2820.00000	-12.83382
2825.00000	-10.83746
2830.00000	-14.26898
2835.00000	-17.97716
2840.00000	-20.75852
2845.00000	-22.87641
2850.00000	-24.54200
2855.00000	-25.88639
2860.00000	-26.99555
2865.00000	-27.90885
2870.00000	-28.67426
2875.00000	-29.30437
2880.00000	-29.81905
2885.00000	-30.22663
2890.00000	-30.51643
2895.00000	-30.78311
2900.00000	-30.92696
2905.00000	-31.00860
2910.00000	-30.98147
2915.00000	-30.92199
2920.00000	-30.76021
2925.00000	-30.50774
2930.00000	-30.18129
2935.00000	-29.72927
2940.00000	-29.21640
2945.00000	-28.55985
2950.00000	-27.77930
2955.00000	-26.82818
2960.00000	-25.66146
2965.00000	-24.23832
2970.00000	-22.46115
2975.00000	-20.17591
2980.00000	-17.14306
2985.00000	-13.28383
2990.00000	-11.43430
2995.00000	-14.76854
3000.00000	-18.38928
3005.00000	-21.12475
3010.00000	-23.21176
3015.00000	-24.85337
3020.00000	-26.18080
3025.00000	-27.03065
3030.00000	-28.17577
3035.00000	-28.91948
3040.00000	-29.53541
3045.00000	-30.04762
3050.00000	-30.44776
3055.00000	-30.76885
3060.00000	-30.99876
3065.00000	-31.13565
3070.00000	-31.18756
3075.00000	-31.19094
3080.00000	-31.11652
3085.00000	-30.95756
3090.00000	-30.69922
3095.00000	-30.37867
3100.00000	-29.94137
3105.00000	-29.42349
3110.00000	-28.77314
3115.00000	-28.00438
3120.00000	-26.94729
3125.00000	-25.69313
3130.00000	-24.42868
3135.00000	-22.74695
3140.00000	-20.49355
3145.00000	-17.52823
3150.00000	-13.78659
3155.00000	-11.86816
3160.00000	-14.95810
3165.00000	-18.52423
3170.00000	-21.25079
3175.00000	-23.33784
3180.00000	-24.97497
3185.00000	-26.30624
3190.00000	-27.39006
3195.00000	-28.16577
3200.00000	-29.01662
3205.00000	-21.67879
3210.00000	-30.15080
3215.00000	-30.55198
3220.00000	-30.86622
3225.00000	-31.08751
3230.00000	-31.22696
3235.00000	-31.29646
3240.00000	-28.47234
3245.00000	-31.02015
3250.00000	-31.03808
3255.00000	-30.78279
3260.00000	-30.44079
3265.00000	-30.02259
3270.00000	-29.45906
3275.00000	-28.82465
3280.00000	-28.02195
3285.00000	-27.06965
3290.00000	-25.89971
3295.00000	-21.96320
3300.00000	-22.68707
3305.00000	-20.41282
3310.00000	-17.42993
3315.00000	-13.77820
3320.00000	-12.31499
3325.00000	-15.45195
3330.00000	-18.88665
3335.00000	-21.52907
3340.00000	-23.55399
3345.00000	-25.16560
3350.00000	-26.47732
3355.00000	-27.54798
3360.00000	-28.42498
3365.00000	-29.16721
3370.00000	-29.74443
3375.00000	-30.25604
3380.00000	-30.59936
3385.00000	-30.95472
3390.00000	-31.17463
3395.00000	-31.29790
3400.00000	-31.36257
3405.00000	-31.29256
3410.00000	-31.21605
3415.00000	-31.06201
3420.00000	-30.79956
3425.00000	-30.45677
3430.00000	-30.01628
3435.00000	-29.46083
3440.00000	-28.80557
3445.00000	-27.89455
3450.00000	-26.98090
3455.00000	-25.83544
3460.00000	-24.40620
3465.00000	-22.60598
3470.00000	-20.30396
3475.00000	-17.30217
3480.00000	-13.78270
3485.00000	-12.79676
3490.00000	-15.96417
3495.00000	-19.27983
3500.00000	-21.85105
3505.00000	-23.84634
3510.00000	-25.42840
3515.00000	-26.71797
3520.00000	-27.77396
3525.00000	-28.66093
3530.00000	-29.39468
3535.00000	-29.99658
3540.00000	-30.49296
3545.00000	-30.86548
3550.00000	-31.16986
3555.00000	-31.38338
3560.00000	-31.50948
3565.00000	-31.55050
3570.00000	-27.85230
3575.00000	-31.39947
3580.00000	-31.19500
3585.00000	-30.92379
3590.00000	-30.50827
3595.00000	-30.05728
3600.00000	-29.48346
3605.00000	-28.76725
3610.00000	-27.86467
3615.00000	-26.84744
3620.00000	-25.57237
3625.00000	-24.00024
3630.00000	-22.03205
3635.00000	-19.49909
3640.00000	-16.25707
3645.00000	-13.14983
3650.00000	-13.96956
3655.00000	-17.04956
3660.00000	-20.35852
3665.00000	-20.64441
3670.00000	-24.45224
3675.00000	-25.84479
3680.00000	-27.05403
3685.00000	-28.02806
3690.00000	-28.82637
3695.00000	-29.49195
3700.00000	-29.98681
3705.00000	-30.44116
3710.00000	-30.71397
3715.00000	-31.10653
3720.00000	-31.26884
3725.00000	-31.28489
3730.00000	-31.39374
3735.00000	-31.34738
3740.00000	-31.22624
3745.00000	-31.05281
3750.00000	-30.76284
3755.00000	-30.38581
3760.00000	-29.89939
3765.00000	-29.32848
3770.00000	-28.60943
3775.00000	-27.75051
3780.00000	-26.69963
3785.00000	-25.42580
3790.00000	-23.81267
3795.00000	-21.88481
3800.00000	-19.34984
3805.00000	-16.13369
3810.00000	-13.23829
3815.00000	-14.29168
3820.00000	-17.63215
3825.00000	-20.52210
3830.00000	-22.75985
3835.00000	-24.51209
3840.00000	-25.90957
3845.00000	-27.04424
3850.00000	-27.96212
3855.00000	-28.72933
3860.00000	-29.38025
3865.00000	-29.85669
3870.00000	-30.29836
3875.00000	-30.59136
3880.00000	-30.84875
3885.00000	-31.00159
3890.00000	-31.08070
3895.00000	-31.08273
3900.00000	-31.01545
